date,home_team,score,away_team
06-11-2022,Hearts,3 - 2,Motherwell
09-11-2022,Rangers,1 - 0,Hearts
12-11-2022,Hearts,1 - 1,Livingston
17-12-2022,Hearts,3 - 1,Kilmarnock
24-12-2022,Dundee United,2 - 2,Hearts
28-12-2022,St Johnstone,2 - 3,Hearts
02-01-2023,Hearts,3 - 0,Hibernian
07-01-2023,St Mirren,1 - 1,Hearts
13-01-2023,Hearts,1 - 0,St Mirren
18-01-2023,Hearts,5 - 0,Aberdeen
29-01-2023,Livingston,0 - 0,Hearts
01-02-2023,Hearts,0 - 3,Rangers
04-02-2023,Hearts,3 - 1,Dundee United
19-02-2023,Motherwell,2 - 0,Hearts
04-03-2023,Hearts,3 - 0,St Johnstone
08-03-2023,Celtic,3 - 1,Hearts
18-03-2023,Aberdeen,3 - 0,Hearts
01-04-2023,Kilmarnock,2 - 1,Hearts
08-04-2023,Hearts,0 - 2,St Mirren
15-04-2023,Hibernian,1 - 0,Hearts
22-04-2023,Hearts,6 - 1,Ross County
07-05-2023,Hearts,0 - 2,Celtic
13-05-2023,St Mirren,2 - 2,Hearts
20-05-2023,Hearts,2 - 1,Aberdeen
24-05-2023,Rangers,2 - 2,Hearts
27-05-2023,Hearts,1 - 1,Hibernian
30-07-2022,St Johnstone,0 - 1,Hibernian
07-08-2022,Hibernian,1 - 1,Hearts
13-08-2022,Livingston,2 - 1,Hibernian
20-08-2022,Hibernian,2 - 2,Rangers
27-08-2022,St Mirren,1 - 0,Hibernian
03-09-2022,Hibernian,1 - 0,Kilmarnock
17-09-2022,Hibernian,3 - 1,Aberdeen
01-10-2022,Ross County,0 - 2,Hibernian
08-10-2022,Hibernian,1 - 0,Motherwell
11-10-2022,Dundee United,1 - 0,Hibernian
15-10-2022,Celtic,6 - 1,Hibernian
21-10-2022,Hibernian,1 - 2,St Johnstone
29-10-2022,Hibernian,3 - 0,St Mirren
04-11-2022,Aberdeen,4 - 1,Hibernian
08-11-2022,Hibernian,0 - 2,Ross County
12-11-2022,Kilmarnock,1 - 0,Hibernian
15-12-2022,Rangers,3 - 2,Hibernian
24-12-2022,Hibernian,4 - 0,Livingston
28-12-2022,Hibernian,0 - 4,Celtic
02-01-2023,Hearts,3 - 0,Hibernian
08-01-2023,Motherwell,2 - 3,Hibernian
14-01-2023,Hibernian,2 - 2,Dundee United
28-01-2023,Hibernian,6 - 0,Aberdeen
31-01-2023,Ross County,1 - 1,Hibernian
04-02-2023,St Mirren,0 - 1,Hibernian
18-02-2023,Hibernian,2 - 0,Kilmarnock
04-03-2023,Livingston,1 - 4,Hibernian
08-03-2023,Hibernian,1 - 4,Rangers
